"T","Kappa","Y","alpha","eps1","eps2","rho1","rho2","lam"
"231",286,1,1,0.4,0.64,0.54,0.009,0.87,0.790310867666953
"232",286.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"233",286.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"234",286.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"235",286.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0224090384478123
"236",286.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.251291092366649
"237",286.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.30997501879252
"238",286.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.393288974397466
"239",286.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.519038939038336
"240",286.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.580142775703326
"241",286.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.624935759201183
"242",286.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.667483562819589
"243",286.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.899209771027235
"244",286.5,0.6,1,0.4,0.64,0.54,0.009,0.87,1.14374801249215
"245",286.5,0.65,1,0.4,0.64,0.54,0.009,0.87,1.16060698877709
"246",286.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.1681787853969
"247",286.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.16446332839139
"248",286.5,0.8,1,0.4,0.64,0.54,0.009,0.87,1.14924172303788
"249",286.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.11919556999533
"250",286.5,0.9,1,0.4,0.64,0.54,0.009,0.87,1.0725218682477
"251",286.5,0.95,1,0.4,0.64,0.54,0.009,0.87,1.01137804260167
"252",286.5,1,1,0.4,0.64,0.54,0.009,0.87,0.784041893651597
"253",287,0,1,0.4,0.64,0.54,0.009,0.87,0
"254",287,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"255",287,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"256",287,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0197176083767945
"257",287,0.2,1,0.4,0.64,0.54,0.009,0.87,0.244318632451239
"258",287,0.25,1,0.4,0.64,0.54,0.009,0.87,0.306826448969673
"259",287,0.3,1,0.4,0.64,0.54,0.009,0.87,0.396824095324932
"260",287,0.35,1,0.4,0.64,0.54,0.009,0.87,0.476646399968674
"261",287,0.4,1,0.4,0.64,0.54,0.009,0.87,0.515156537470452
"262",287,0.45,1,0.4,0.64,0.54,0.009,0.87,0.585404906526793
"263",287,0.5,1,0.4,0.64,0.54,0.009,0.87,0.647571854535918
"264",287,0.55,1,0.4,0.64,0.54,0.009,0.87,0.851061158817665
"265",287,0.6,1,0.4,0.64,0.54,0.009,0.87,1.14145549467947
"266",287,0.65,1,0.4,0.64,0.54,0.009,0.87,1.16057094055693
"267",287,0.7,1,0.4,0.64,0.54,0.009,0.87,1.16918801381816
"268",287,0.75,1,0.4,0.64,0.54,0.009,0.87,1.16681887877959
"269",287,0.8,1,0.4,0.64,0.54,0.009,0.87,1.1527619090647
"270",287,0.85,1,0.4,0.64,0.54,0.009,0.87,1.12235390614967
"271",287,0.9,1,0.4,0.64,0.54,0.009,0.87,1.07667252966598
"272",287,0.95,1,0.4,0.64,0.54,0.009,0.87,1.01779603544231
"273",287,1,1,0.4,0.64,0.54,0.009,0.87,0.777635723029299
"274",287.5,0,1,0.4,0.64,0.54,0.009,0.87,0
"275",287.5,0.05,1,0.4,0.64,0.54,0.009,0.87,0
"276",287.5,0.1,1,0.4,0.64,0.54,0.009,0.87,0
"277",287.5,0.15,1,0.4,0.64,0.54,0.009,0.87,0.0172831189704195
"278",287.5,0.2,1,0.4,0.64,0.54,0.009,0.87,0.0172341747475128
"279",287.5,0.25,1,0.4,0.64,0.54,0.009,0.87,0.219042747793141
"280",287.5,0.3,1,0.4,0.64,0.54,0.009,0.87,0.321959669910346
"281",287.5,0.35,1,0.4,0.64,0.54,0.009,0.87,0.425911886036177
"282",287.5,0.4,1,0.4,0.64,0.54,0.009,0.87,0.48881954674207
"283",287.5,0.45,1,0.4,0.64,0.54,0.009,0.87,0.539525943056873
"284",287.5,0.5,1,0.4,0.64,0.54,0.009,0.87,0.589777603742878
"285",287.5,0.55,1,0.4,0.64,0.54,0.009,0.87,0.776174137937902
"286",287.5,0.6,1,0.4,0.64,0.54,0.009,0.87,1.13207292991879
"287",287.5,0.65,1,0.4,0.64,0.54,0.009,0.87,1.1549030390724
"288",287.5,0.7,1,0.4,0.64,0.54,0.009,0.87,1.16572973781122
"289",287.5,0.75,1,0.4,0.64,0.54,0.009,0.87,1.16518448904119
"290",287.5,0.8,1,0.4,0.64,0.54,0.009,0.87,1.15043024889306
"291",287.5,0.85,1,0.4,0.64,0.54,0.009,0.87,1.12109847128463
"292",287.5,0.9,1,0.4,0.64,0.54,0.009,0.87,1.07396345418624
"293",287.5,0.95,1,0.4,0.64,0.54,0.009,0.87,1.01625819008016
